Date,Price,,,,,
5/4/23,26.99,,,,,
5/3/23,27.86,,,,,
5/2/23,28.16,,,,,
5/1/23,29.04,,,,,
4/28/23,29.28,,,,,
4/27/23,28.89,,,,,
4/26/23,28.44,,,,,
4/25/23,28.84,,,,,
4/24/23,29.76,,,,,
4/21/23,29.87,,,,,
4/20/23,29.9,,,,,
4/19/23,30.06,,,,,
4/18/23,30.56,,,,,
4/17/23,30.37,,,,,
4/14/23,29.52,,,,,
4/13/23,28.56,,,,,
4/12/23,28.48,,,,,
4/11/23,28.71,,,,,
4/10/23,27.94,,,,,
4/6/23,27.84,,,,,
4/5/23,27.64,,,,,
4/4/23,27.98,,,,,
4/3/23,28.59,,,,,
3/31/23,28.6,,,,,
3/30/23,28.3,,,,,
3/29/23,28.67,,,,,
3/28/23,28.12,,,,,
3/27/23,28.49,,,,,
3/24/23,27.14,,,,,
3/23/23,26.97,,,,,
3/22/23,27.64,,,,,
3/21/23,28.59,,,,,
3/20/23,27.75,,,,,
3/17/23,27.82,,,,,
3/16/23,28.97,,,,,
3/15/23,28.49,,,,,
3/14/23,28.76,,,,,
3/13/23,28.51,,,,,
3/10/23,30.27,,,,,
3/9/23,30.54,,,,,
3/8/23,32.56,,,,,
3/7/23,33,,,,,
3/6/23,34.09,,,,,
3/3/23,34.16,,,,,
3/2/23,33.49,,,,,
3/1/23,34.14,,,,,
2/28/23,34.3,,,,,
2/27/23,34.21,,,,,
2/24/23,34.21,,,,,
2/23/23,34.26,,,,,
2/22/23,34.29,,,,,
2/21/23,34.52,,,,,
2/17/23,35.35,,,,,
2/16/23,35.28,,,,,
2/15/23,35.56,,,,,
2/14/23,35.62,,,,,
2/13/23,35.65,,,,,
2/10/23,35.58,,,,,
2/9/23,35.72,,,,,
2/8/23,36.5,,,,,
2/7/23,36.77,,,,,
2/6/23,36.37,,,,,
2/3/23,36.43,,,,,
2/2/23,36.13,,,,,
2/1/23,35.92,,,,,
1/31/23,35.48,,,,,
1/30/23,35.3,,,,,
1/27/23,35.45,,,,,
1/26/23,35.34,,,,,
1/25/23,34.87,,,,,
1/24/23,34.57,,,,,
1/23/23,34.32,,,,,
1/20/23,33.85,,,,,
1/19/23,33.23,,,,,
1/18/23,33.72,,,,,
1/17/23,34.52,,,,,
1/13/23,35.23,,,,,
1/12/23,34.47,,,,,
1/11/23,34.38,,,,,
1/10/23,34.12,,,,,
1/9/23,33.89,,,,,
1/6/23,34.41,,,,,
1/5/23,34.07,,,,,
1/4/23,34.14,,,,,
1/3/23,33.51,,,,,
12/30/22,33.12,,,,,
12/29/22,33.14,,,,,
12/28/22,32.77,,,,,
12/27/22,32.53,,,,,
12/23/22,32.47,,,,,
12/22/22,32.39,,,,,
12/21/22,32.68,,,,,
12/20/22,32.19,,,,,
12/19/22,32.06,,,,,
12/16/22,31.7,,,,,
12/15/22,31.77,,,,,
12/14/22,32.28,,,,,
12/13/22,32.75,,,,,
12/12/22,32.73,,,,,
12/9/22,32.38,,,,,
12/8/22,32.44,,,,,
12/7/22,32.74,,,,,
12/6/22,33,,,,,
12/5/22,34.47,,,,,
