Date,Price,,,,,
5/3/23,38.65,,,,,
5/2/23,38.84,,,,,
5/1/23,40.39,,,,,
4/28/23,39.75,,,,,
4/27/23,39.66,,,,,
4/26/23,39.46,,,,,
4/25/23,40.55,,,,,
4/24/23,41.45,,,,,
4/21/23,41.24,,,,,
4/20/23,41.67,,,,,
4/19/23,42.24,,,,,
4/18/23,41.87,,,,,
4/17/23,41.3,,,,,
4/14/23,39.64,,,,,
4/13/23,39.66,,,,,
4/12/23,39.19,,,,,
4/11/23,39.37,,,,,
4/10/23,38.63,,,,,
4/6/23,37.9,,,,,
4/5/23,36.89,,,,,
4/4/23,36.81,,,,,
4/3/23,37.72,,,,,
3/31/23,37.38,,,,,
3/30/23,37.38,,,,,
3/29/23,37.97,,,,,
3/28/23,37.18,,,,,
3/27/23,37.47,,,,,
3/24/23,36.23,,,,,
3/23/23,36.61,,,,,
3/22/23,37.2,,,,,
3/21/23,38.48,,,,,
3/20/23,37.48,,,,,
3/17/23,37.76,,,,,
3/16/23,39.3,,,,,
3/15/23,38.85,,,,,
3/14/23,40.17,,,,,
3/13/23,38.41,,,,,
3/10/23,41.36,,,,,
3/9/23,41.13,,,,,
3/8/23,43.84,,,,,
3/7/23,44.45,,,,,
3/6/23,46.63,,,,,
3/3/23,46.85,,,,,
3/2/23,45.8,,,,,
3/1/23,46.68,,,,,
2/28/23,46.77,,,,,
2/27/23,46.78,,,,,
2/24/23,46.62,,,,,
2/23/23,46.25,,,,,
2/22/23,46.01,,,,,
2/21/23,46.24,,,,,
2/17/23,47.49,,,,,
2/16/23,47.22,,,,,
2/15/23,47.97,,,,,
2/14/23,48.5,,,,,
2/13/23,48.13,,,,,
2/10/23,47.51,,,,,
2/9/23,47.57,,,,,
2/8/23,48.25,,,,,
2/7/23,48.13,,,,,
2/6/23,47.68,,,,,
2/3/23,47.58,,,,,
2/2/23,47.23,,,,,
2/1/23,47.33,,,,,
1/31/23,46.87,,,,,
1/30/23,46.29,,,,,
1/27/23,46.12,,,,,
1/26/23,45.81,,,,,
1/25/23,45.34,,,,,
1/24/23,44.45,,,,,
1/23/23,45.03,,,,,
1/20/23,43.92,,,,,
1/19/23,42.95,,,,,
1/18/23,43.38,,,,,
1/17/23,44.12,,,,,
1/13/23,44.22,,,,,
1/12/23,42.83,,,,,
1/11/23,42.74,,,,,
1/10/23,42.36,,,,,
1/9/23,42.39,,,,,
1/6/23,42.8,,,,,
1/5/23,42.42,,,,,
1/4/23,42.65,,,,,
1/3/23,41.79,,,,,
12/30/22,41.29,,,,,
12/29/22,41.33,,,,,
12/28/22,41.12,,,,,
12/27/22,41.04,,,,,
12/23/22,40.98,,,,,
12/22/22,40.68,,,,,
12/21/22,41.12,,,,,
12/20/22,40.98,,,,,
12/19/22,41.82,,,,,
12/16/22,41.19,,,,,
12/15/22,41.37,,,,,
12/14/22,42.18,,,,,
12/13/22,42.62,,,,,
12/12/22,42.86,,,,,
12/9/22,42.5,,,,,
12/8/22,42.58,,,,,
12/7/22,42.45,,,,,
12/6/22,43.4,,,,,
12/5/22,43.66,,,,,
12/2/22,45.94,,,,,
12/1/22,46.87,,,,,
11/30/22,47.95,,,,,
11/29/22,47.57,,,,,
11/28/22,46.98,,,,,
11/25/22,47.44,,,,,
11/23/22,47.33,,,,,
11/22/22,47.11,,,,,
11/21/22,46.84,,,,,
11/18/22,46.5,,,,,
11/17/22,45.99,,,,,
11/16/22,46.21,,,,,
11/15/22,46.71,,,,,
11/14/22,46.87,,,,,
11/11/22,47.55,,,,,
11/10/22,47.95,,,,,
11/9/22,45.97,,,,,
11/8/22,47.18,,,,,
11/7/22,47.07,,,,,
11/4/22,46.74,,,,,
11/3/22,45.54,,,,,
11/2/22,46.88,,,,,
11/1/22,46.95,,,,,
10/31/22,45.99,,,,,
10/28/22,46.35,,,,,
10/27/22,45.65,,,,,
