Date,Price,,,,,
5/4/23,321.26,,,,,
5/3/23,328.65,,,,,
5/2/23,333.37,,,,,
5/1/23,340.57,,,,,
4/28/23,343.44,,,,,
4/27/23,341.6,,,,,
4/26/23,336.56,,,,,
4/25/23,339.48,,,,,
4/24/23,343.96,,,,,
4/21/23,341.66,,,,,
4/20/23,338.71,,,,,
4/19/23,336.89,,,,,
4/18/23,333.91,,,,,
4/17/23,339.68,,,,,
4/14/23,336.92,,,,,
4/13/23,332.13,,,,,
4/12/23,330.24,,,,,
4/11/23,327.37,,,,,
4/10/23,324.96,,,,,
4/6/23,322.4,,,,,
4/5/23,321.53,,,,,
4/4/23,322.65,,,,,
4/3/23,326.52,,,,,
3/31/23,327.11,,,,,
3/30/23,321.14,,,,,
3/29/23,320.72,,,,,
3/28/23,318.44,,,,,
3/27/23,318.53,,,,,
3/24/23,312.57,,,,,
3/23/23,314.85,,,,,
3/22/23,313.67,,,,,
3/21/23,317.28,,,,,
3/20/23,309.53,,,,,
3/17/23,303.54,,,,,
3/16/23,315.09,,,,,
3/15/23,312.19,,,,,
3/14/23,322.15,,,,,
3/13/23,315.51,,,,,
3/10/23,327.67,,,,,
3/9/23,342.09,,,,,
3/8/23,349.29,,,,,
3/7/23,346.08,,,,,
3/6/23,357.05,,,,,
3/3/23,357.09,,,,,
3/2/23,349.1,,,,,
3/1/23,346.23,,,,,
2/28/23,351.65,,,,,
2/27/23,365.53,,,,,
2/24/23,363.85,,,,,
2/23/23,363.54,,,,,
2/22/23,360.89,,,,,
2/21/23,361.12,,,,,
2/17/23,368.5,,,,,
2/16/23,370.2,,,,,
2/15/23,374.34,,,,,
2/14/23,371.78,,,,,
2/13/23,374.02,,,,,
2/10/23,371.28,,,,,
2/9/23,367.99,,,,,
2/8/23,375.1,,,,,
2/7/23,374.4,,,,,
2/6/23,370.8,,,,,
2/3/23,369.95,,,,,
2/2/23,369.47,,,,,
2/1/23,365.71,,,,,
1/31/23,365.81,,,,,
1/30/23,357.46,,,,,
1/27/23,353.7,,,,,
1/26/23,354.97,,,,,
1/25/23,349.63,,,,,
1/24/23,348.33,,,,,
1/23/23,349.14,,,,,
1/20/23,341.84,,,,,
1/19/23,350.75,,,,,
1/18/23,349.09,,,,,
1/17/23,349.92,,,,,
1/13/23,374,,,,,
1/12/23,369.94,,,,,
1/11/23,364.48,,,,,
1/10/23,357.36,,,,,
1/9/23,353,,,,,
1/6/23,348.08,,,,,
1/5/23,343.76,,,,,
1/4/23,347.7,,,,,
1/3/23,346.22,,,,,
12/30/22,343.38,,,,,
12/29/22,343.43,,,,,
12/28/22,340.87,,,,,
12/27/22,341.97,,,,,
12/23/22,345.51,,,,,
12/22/22,345.58,,,,,
12/21/22,350.16,,,,,
12/20/22,344.49,,,,,
12/19/22,344.61,,,,,
12/16/22,346.35,,,,,
12/15/22,349.83,,,,,
12/14/22,360.38,,,,,
12/13/22,368.69,,,,,
12/12/22,363.18,,,,,
12/9/22,359.14,,,,,
12/8/22,358.08,,,,,
12/7/22,359.92,,,,,
12/6/22,362.91,,,,,
12/5/22,371.54,,,,,
12/2/22,380.58,,,,,
12/1/22,383.81,,,,,
11/30/22,386.15,,,,,
11/29/22,383.71,,,,,
11/28/22,382.36,,,,,
11/25/22,388.86,,,,,
11/23/22,386.25,,,,,
11/22/22,383.87,,,,,
11/21/22,380.21,,,,,
11/18/22,379.2,,,,,
11/17/22,379.78,,,,,
11/16/22,382.33,,,,,
11/15/22,382.88,,,,,
11/14/22,382.36,,,,,
11/11/22,385.17,,,,,
11/10/22,378.31,,,,,
11/9/22,362,,,,,
11/8/22,364.02,,,,,
11/7/22,362.56,,,,,
11/4/22,357.91,,,,,
11/3/22,348.87,,,,,
11/2/22,349.79,,,,,
11/1/22,348.58,,,,,
10/31/22,344.51,,,,,
10/28/22,341.82,,,,,
10/27/22,337.18,,,,,
10/26/22,335.69,,,,,
10/25/22,332.4,,,,,
10/24/22,328.7,,,,,
10/21/22,325.1,,,,,
10/20/22,310.81,,,,,
10/19/22,311.76,,,,,
10/18/22,313.85,,,,,
10/17/22,306.71,,,,,
10/14/22,299.99,,,,,
10/13/22,307.07,,,,,
10/12/22,295.31,,,,,
10/11/22,294.21,,,,,
10/10/22,300.54,,,,,
10/7/22,301.08,,,,,
10/6/22,304.67,,,,,
10/5/22,309,,,,,
10/4/22,314.87,,,,,
10/3/22,299.15,,,,,
9/30/22,293.05,,,,,
9/29/22,296.11,,,,,
9/28/22,300.79,,,,,
9/27/22,291.38,,,,,
9/26/22,294.62,,,,,
9/23/22,301.97,,,,,
9/22/22,312.92,,,,,
9/21/22,320.71,,,,,
9/20/22,323.26,,,,,
9/19/22,328.66,,,,,
9/16/22,326.21,,,,,
9/15/22,331.62,,,,,
9/14/22,327.26,,,,,
9/13/22,328.39,,,,,
9/12/22,342.58,,,,,
9/9/22,340.1,,,,,
9/8/22,335.38,,,,,
9/7/22,330.56,,,,,
9/6/22,326.49,,,,,
9/2/22,331.48,,,,,
9/1/22,333.5,,,,,
8/31/22,332.67,,,,,
8/30/22,333.63,,,,,
8/29/22,333.92,,,,,
8/26/22,336.4,,,,,
8/25/22,346.49,,,,,
8/24/22,341.94,,,,,
8/23/22,340.18,,,,,
8/22/22,342.42,,,,,
8/19/22,349.27,,,,,
8/18/22,354.52,,,,,
8/17/22,353.74,,,,,
8/16/22,354.97,,,,,
8/15/22,355.85,,,,,
8/12/22,353.82,,,,,
8/11/22,351.68,,,,,
8/10/22,347.91,,,,,
8/9/22,336.62,,,,,
8/8/22,334.68,,,,,
8/5/22,334.67,,,,,
8/4/22,331.87,,,,,
8/3/22,333.17,,,,,
8/2/22,327.88,,,,,
8/1/22,332.08,,,,,
7/29/22,333.39,,,,,
7/28/22,329.11,,,,,
7/27/22,324.54,,,,,
7/26/22,318.55,,,,,
7/25/22,324.12,,,,,
7/22/22,323.93,,,,,
7/21/22,326.54,,,,,
7/20/22,321.45,,,,,
7/19/22,318.05,,,,,
7/18/22,301.26,,,,,
7/15/22,293.87,,,,,
7/14/22,281.59,,,,,
7/13/22,290.15,,,,,
7/12/22,292.53,,,,,
7/11/22,293.18,,,,,
7/8/22,296.47,,,,,
7/7/22,298.6,,,,,
7/6/22,293.76,,,,,
7/5/22,297.2,,,,,
7/1/22,299.23,,,,,
6/30/22,297.02,,,,,
6/29/22,303.28,,,,,
6/28/22,299.49,,,,,
6/27/22,300.78,,,,,
6/24/22,302.75,,,,,
6/23/22,286.17,,,,,
6/22/22,284.54,,,,,
6/21/22,284.81,,,,,
6/17/22,279.79,,,,,
6/16/22,284.98,,,,,
6/15/22,290.07,,,,,
6/14/22,282.54,,,,,
6/13/22,283.32,,,,,
6/10/22,287.02,,,,,
6/9/22,304.22,,,,,
6/8/22,314.68,,,,,
6/7/22,321.51,,,,,
6/6/22,320.51,,,,,
6/3/22,318.68,,,,,
6/2/22,324.25,,,,,
6/1/22,321.85,,,,,
5/31/22,326.85,,,,,
5/27/22,328.58,,,,,
5/26/22,323.63,,,,,
5/25/22,314.9,,,,,
5/24/22,313.95,,,,,
5/23/22,316.61,,,,,
5/20/22,306.8,,,,,
5/19/22,308.2,,,,,
5/18/22,306.73,,,,,
5/17/22,312.97,,,,,
5/16/22,303.44,,,,,
5/13/22,306.99,,,,,
5/12/22,299.41,,,,,
5/11/22,301.55,,,,,
5/10/22,305.06,,,,,
5/9/22,308.89,,,,,
5/6/22,312.96,,,,,
5/5/22,313.07,,,,,
5/4/22,324.11,,,,,
5/3/22,314.66,,,,,
5/2/22,310.42,,,,,
4/29/22,305.49,,,,,
4/28/22,318.41,,,,,
4/27/22,313.23,,,,,
4/26/22,313.12,,,,,
4/25/22,321.42,,,,,
4/22/22,319.77,,,,,
4/21/22,334.3,,,,,
4/20/22,341.06,,,,,
4/19/22,335.95,,,,,
