Date,Price,,,,,
5/2/23,138.92,,,,,
5/1/23,141.2,,,,,
4/28/23,138.24,,,,,
4/27/23,137.05,,,,,
4/26/23,135.23,,,,,
4/25/23,137.67,,,,,
4/24/23,140.73,,,,,
4/21/23,140.54,,,,,
4/20/23,140.81,,,,,
4/19/23,141.22,,,,,
4/18/23,141.4,,,,,
4/17/23,139.83,,,,,
4/14/23,138.73,,,,,
4/13/23,128.99,,,,,
4/12/23,128.5,,,,,
4/11/23,128.52,,,,,
4/10/23,127.89,,,,,
4/6/23,127.47,,,,,
4/5/23,127.61,,,,,
4/4/23,128.42,,,,,
4/3/23,130.16,,,,,
3/31/23,130.31,,,,,
3/30/23,128.75,,,,,
3/29/23,129.14,,,,,
3/28/23,128.88,,,,,
3/27/23,128.49,,,,,
3/24/23,124.91,,,,,
3/23/23,126.84,,,,,
3/22/23,127.18,,,,,
3/21/23,130.55,,,,,
3/20/23,127.14,,,,,
3/17/23,125.81,,,,,
3/16/23,130.75,,,,,
3/15/23,128.26,,,,,
3/14/23,134.62,,,,,
3/13/23,131.25,,,,,
3/10/23,133.65,,,,,
3/9/23,130.34,,,,,
3/8/23,137.8,,,,,
3/7/23,138.62,,,,,
3/6/23,142.82,,,,,
3/3/23,143.66,,,,,
3/2/23,141.07,,,,,
3/1/23,142.55,,,,,
2/28/23,143.35,,,,,
2/27/23,142.16,,,,,
2/24/23,140.93,,,,,
2/23/23,139.67,,,,,
2/22/23,138.56,,,,,
2/21/23,139.63,,,,,
2/17/23,142.24,,,,,
2/16/23,141.82,,,,,
2/15/23,143.8,,,,,
2/14/23,143.2,,,,,
2/13/23,142.57,,,,,
2/10/23,141.04,,,,,
2/9/23,140.42,,,,,
2/8/23,142.64,,,,,
2/7/23,143.65,,,,,
2/6/23,141.92,,,,,
2/3/23,141.09,,,,,
2/2/23,138.94,,,,,
2/1/23,139.59,,,,,
1/31/23,139.96,,,,,
1/30/23,139.13,,,,,
1/27/23,140.32,,,,,
1/26/23,139.98,,,,,
1/25/23,139.12,,,,,
1/24/23,138.45,,,,,
1/23/23,137.27,,,,,
1/20/23,135.08,,,,,
1/19/23,134.75,,,,,
1/18/23,136.57,,,,,
1/17/23,140.8,,,,,
1/13/23,143.01,,,,,
1/12/23,139.49,,,,,
1/11/23,139.63,,,,,
1/10/23,138.6,,,,,
1/9/23,137.37,,,,,
1/6/23,137.94,,,,,
1/5/23,135.35,,,,,
1/4/23,136.38,,,,,
1/3/23,135.12,,,,,
12/30/22,134.1,,,,,
12/29/22,133.22,,,,,
12/28/22,132.46,,,,,
12/27/22,131.74,,,,,
12/23/22,131.28,,,,,
12/22/22,130.66,,,,,
12/21/22,132.16,,,,,
12/20/22,130.69,,,,,
12/19/22,130.06,,,,,
12/16/22,129.29,,,,,
12/15/22,130.1,,,,,
12/14/22,133.41,,,,,
12/13/22,134.08,,,,,
12/12/22,134.21,,,,,
12/9/22,132.16,,,,,
12/8/22,132.88,,,,,
12/7/22,131.5,,,,,
12/6/22,131.59,,,,,
12/5/22,131.37,,,,,
12/2/22,135.16,,,,,
12/1/22,136.24,,,,,
11/30/22,138.18,,,,,
11/29/22,136.56,,,,,
11/28/22,134.35,,,,,
11/25/22,136.74,,,,,
11/23/22,136.48,,,,,
11/22/22,135.04,,,,,
11/21/22,133.05,,,,,
11/18/22,133.84,,,,,
11/17/22,132.54,,,,,
11/16/22,133.12,,,,,
11/15/22,132.94,,,,,
11/14/22,133.91,,,,,
11/11/22,135.3,,,,,
11/10/22,135.08,,,,,
11/9/22,129.74,,,,,
11/8/22,131.45,,,,,
11/7/22,131.37,,,,,
11/4/22,130.68,,,,,
11/3/22,127.2,,,,,
11/2/22,126.97,,,,,
11/1/22,128.15,,,,,
10/31/22,125.88,,,,,
10/28/22,126.08,,,,,
10/27/22,124.6,,,,,
10/26/22,124.11,,,,,
10/25/22,122.7,,,,,
10/24/22,122.38,,,,,
10/21/22,122.23,,,,,
10/20/22,116.13,,,,,
10/19/22,116.51,,,,,
10/18/22,118.84,,,,,
10/17/22,115.86,,,,,
10/14/22,111.19,,,,,
10/13/22,109.37,,,,,
10/12/22,103.61,,,,,
10/11/22,101.96,,,,,
10/10/22,104.99,,,,,
10/7/22,105.98,,,,,
10/6/22,108.14,,,,,
10/5/22,110.39,,,,,
10/4/22,112.77,,,,,
10/3/22,107.73,,,,,
9/30/22,104.5,,,,,
9/29/22,106.16,,,,,
9/28/22,107.99,,,,,
9/27/22,105.85,,,,,
9/26/22,106.79,,,,,
9/23/22,109.14,,,,,
9/22/22,111.21,,,,,
9/21/22,112.49,,,,,
9/20/22,115.83,,,,,
9/19/22,118.16,,,,,
9/16/22,117.08,,,,,
9/15/22,117.87,,,,,
9/14/22,116.12,,,,,
9/13/22,116.39,,,,,
9/12/22,120.58,,,,,
9/9/22,119.17,,,,,
9/8/22,118.6,,,,,
9/7/22,115.9,,,,,
9/6/22,113.74,,,,,
9/2/22,113.71,,,,,
9/1/22,114.51,,,,,
8/31/22,113.73,,,,,
8/30/22,114.41,,,,,
8/29/22,114.39,,,,,
8/26/22,114.67,,,,,
8/25/22,118.55,,,,,
8/24/22,115.8,,,,,
8/23/22,115.52,,,,,
8/22/22,116.67,,,,,
8/19/22,118.63,,,,,
8/18/22,121.64,,,,,
8/17/22,122.59,,,,,
8/16/22,123.63,,,,,
8/15/22,122.46,,,,,
8/12/22,122.13,,,,,
8/11/22,120.14,,,,,
8/10/22,118.39,,,,,
8/9/22,115.38,,,,,
8/8/22,114.35,,,,,
8/5/22,115.76,,,,,
8/4/22,112.36,,,,,
8/3/22,113.61,,,,,
8/2/22,112.43,,,,,
8/1/22,114.21,,,,,
7/29/22,115.36,,,,,
7/28/22,114.81,,,,,
7/27/22,115.24,,,,,
7/26/22,113.42,,,,,
7/25/22,115.22,,,,,
7/22/22,114.76,,,,,
7/21/22,115.32,,,,,
7/20/22,114.54,,,,,
7/19/22,114.56,,,,,
7/18/22,111.79,,,,,
7/15/22,112.95,,,,,
7/14/22,108,,,,,
7/13/22,111.91,,,,,
7/12/22,112.97,,,,,
7/11/22,112.86,,,,,
7/8/22,114.36,,,,,
7/7/22,114.72,,,,,
7/6/22,111.89,,,,,
7/5/22,112.62,,,,,
7/1/22,114.05,,,,,
6/30/22,112.61,,,,,
6/29/22,115.3,,,,,
6/28/22,115.82,,,,,
6/27/22,116.38,,,,,
6/24/22,117.32,,,,,
6/23/22,113.92,,,,,
6/22/22,115.18,,,,,
6/21/22,115.83,,,,,
6/17/22,113.03,,,,,
6/16/22,113.43,,,,,
6/15/22,115.41,,,,,
6/14/22,114.06,,,,,
6/13/22,115.99,,,,,
6/10/22,119.55,,,,,
6/9/22,125.31,,,,,
6/8/22,128,,,,,
6/7/22,130.07,,,,,
6/6/22,129.73,,,,,
6/3/22,130.16,,,,,
6/2/22,132,,,,,
6/1/22,129.91,,,,,
5/31/22,132.23,,,,,
5/27/22,131.27,,,,,
5/26/22,129.44,,,,,
5/25/22,127.24,,,,,
5/24/22,126.36,,,,,
5/23/22,124.6,,,,,
5/20/22,117.34,,,,,
5/19/22,118.31,,,,,
5/18/22,120.09,,,,,
5/17/22,122.18,,,,,
5/16/22,118.26,,,,,
5/13/22,119.09,,,,,
5/12/22,118.04,,,,,
5/11/22,118.14,,,,,
5/10/22,118.89,,,,,
5/9/22,121.86,,,,,
5/6/22,123.72,,,,,
5/5/22,123.92,,,,,
5/4/22,127.1,,,,,
5/3/22,123.03,,,,,
5/2/22,120.45,,,,,
4/29/22,119.36,,,,,
4/28/22,123.34,,,,,
4/27/22,121.42,,,,,
4/26/22,123.02,,,,,
4/25/22,126.77,,,,,
4/22/22,126.81,,,,,
4/21/22,130.56,,,,,
4/20/22,131.58,,,,,
4/19/22,131.12,,,,,
4/18/22,128.46,,,,,
4/14/22,126.12,,,,,
4/13/22,127.3,,,,,
4/12/22,131.54,,,,,
4/11/22,133,,,,,
4/8/22,133.49,,,,,
4/7/22,131.09,,,,,
4/6/22,131.49,,,,,
4/5/22,133.34,,,,,
4/4/22,135.91,,,,,
4/1/22,135.31,,,,,
3/31/22,136.32,,,,,
3/30/22,140.54,,,,,
3/29/22,141.18,,,,,
3/28/22,140.87,,,,,
3/25/22,141.92,,,,,
3/24/22,140.69,,,,,
3/23/22,139.78,,,,,
3/22/22,142.62,,,,,
3/21/22,139.65,,,,,
3/18/22,140.1,,,,,
3/17/22,140.15,,,,,
3/16/22,138.4,,,,,
3/15/22,132.48,,,,,
3/14/22,130.17,,,,,
3/11/22,128.89,,,,,
3/10/22,131.86,,,,,
3/9/22,133.44,,,,,
3/8/22,128.3,,,,,
3/7/22,129.21,,,,,
3/4/22,134.4,,,,,
3/3/22,138.29,,,,,
3/2/22,139.28,,,,,
3/1/22,136.45,,,,,
2/28/22,141.8,,,,,
2/25/22,147.97,,,,,
2/24/22,144.55,,,,,
2/23/22,148.69,,,,,
2/22/22,151.87,,,,,
2/18/22,152.14,,,,,
2/17/22,151.43,,,,,
2/16/22,155,,,,,
2/15/22,154.72,,,,,
2/14/22,152.49,,,,,
2/11/22,153.92,,,,,
2/10/22,155.95,,,,,
2/9/22,156.6,,,,,
2/8/22,155.95,,,,,
2/7/22,153.07,,,,,
2/4/22,152.56,,,,,
2/3/22,148.7,,,,,
2/2/22,149.94,,,,,
2/1/22,151.15,,,,,
1/31/22,148.6,,,,,
1/28/22,146.61,,,,,
1/27/22,145.31,,,,,
1/26/22,147.92,,,,,
1/25/22,146.53,,,,,
1/24/22,144.95,,,,,
1/21/22,145.08,,,,,
1/20/22,147.66,,,,,
1/19/22,148.93,,,,,
1/18/22,151.27,,,,,
1/14/22,157.89,,,,,
1/13/22,168.23,,,,,
1/12/22,168.44,,,,,
1/11/22,167.49,,,,,
1/10/22,167.32,,,,,
1/7/22,167.16,,,,,
1/6/22,165.52,,,,,
1/5/22,163.78,,,,,
1/4/22,167.83,,,,,
1/3/22,161.7,,,,,
12/31/21,158.35,,,,,
12/30/21,158.48,,,,,
12/29/21,158.56,,,,,
12/28/21,158.64,,,,,
12/27/21,158.16,,,,,
12/23/21,157.26,,,,,
12/22/21,156.7,,,,,
12/21/21,156.09,,,,,
12/20/21,153.94,,,,,
12/17/21,156.76,,,,,
12/16/21,160.41,,,,,
12/15/21,157.94,,,,,
12/14/21,159.13,,,,,
12/13/21,157.92,,,,,
12/10/21,159.82,,,,,
12/9/21,160.46,,,,,
12/8/21,160.71,,,,,
12/7/21,162.57,,,,,
12/6/21,160.16,,,,,
12/3/21,158.29,,,,,
12/2/21,161.21,,,,,
12/1/21,157.89,,,,,
11/30/21,158.83,,,,,
11/29/21,161.23,,,,,
11/26/21,161.93,,,,,
11/24/21,166.96,,,,,
11/23/21,168.28,,,,,
11/22/21,164.35,,,,,
11/19/21,160.92,,,,,
11/18/21,163.05,,,,,
11/17/21,164.47,,,,,
11/16/21,165.36,,,,,
11/15/21,166.56,,,,,
11/12/21,166.86,,,,,
11/11/21,167.61,,,,,
11/10/21,167.62,,,,,
11/9/21,167.78,,,,,
11/8/21,169.06,,,,,
11/5/21,168.05,,,,,
11/4/21,168.29,,,,,
11/3/21,170.53,,,,,
11/2/21,170.47,,,,,
11/1/21,169.8,,,,,
10/29/21,169.89,,,,,
10/28/21,170.36,,,,,
10/27/21,167.83,,,,,
10/26/21,171.4,,,,,
10/25/21,170.94,,,,,
10/22/21,171.78,,,,,
10/21/21,169.5,,,,,
10/20/21,170.84,,,,,
10/19/21,168.57,,,,,
10/18/21,166.55,,,,,
10/15/21,166.61,,,,,
10/14/21,163.47,,,,,
10/13/21,161,,,,,
10/12/21,165.36,,,,,
10/11/21,166.64,,,,,
10/8/21,170.22,,,,,
10/7/21,170.09,,,,,
10/6/21,169.02,,,,,
10/5/21,168.66,,,,,
10/4/21,166.95,,,,,
10/1/21,167.13,,,,,
9/30/21,163.69,,,,,
9/29/21,165.95,,,,,
9/28/21,166.08,,,,,
9/27/21,166.98,,,,,
9/24/21,163.04,,,,,
9/23/21,161.18,,,,,
9/22/21,155.91,,,,,
9/21/21,152.98,,,,,
9/20/21,152.96,,,,,
9/17/21,157.68,,,,,
9/16/21,158.09,,,,,
9/15/21,158.16,,,,,
9/14/21,157.07,,,,,
9/13/21,159.86,,,,,
9/10/21,157.36,,,,,
9/9/21,159.19,,,,,
9/8/21,158.5,,,,,
9/7/21,159.21,,,,,
9/3/21,159.49,,,,,
